from_code,to_code,count,Flight Distance,Flight Time,Direct Flights
ATL,RSW,4193,515 miles / 828 km,"1 hour, 14 minutes","Delta Air Lines
Southwest Airlines"
ATL,SAN,2857,"1,891 miles / 3044 km","4 hours, 6 minutes","Delta Air Lines
Southwest Airlines"
ATL,SAT,3239,875 miles / 1407 km,"2 hours, 4 minutes","Delta Air Lines
Southwest Airlines"
ATL,SAV,3892,215 miles / 345 km,37 minutes,Delta Air Lines
ATL,SBN,1038,566 miles / 911 km,"1 hour, 21 minutes",Delta Air Lines
ATL,SCE,121,615 miles / 990 km,"1 hour, 44 minutes"
ATL,SDF,2754,321 miles / 517 km,53 minutes,Delta Air Lines
ATL,SEA,2574,"2,182 miles / 3511 km","4 hours, 50 minutes",Delta Air Lines
ATL,SFO,3462,"2,139 miles / 3442 km","4 hours, 41 minutes","Delta Air Lines
Frontier Airlines"
ATL,SGF,1171,563 miles / 906 km,"1 hour, 26 minutes",Delta Air Lines
ATL,SHV,1816,551 miles / 887 km,"1 hour, 23 minutes",Delta Air Lines
ATL,SJC,640,"2,116 miles / 3405 km","4 hours, 38 minutes",Delta Air Lines
ATL,SJU,1874,"1,547 miles / 2489 km","3 hours, 5 minutes","Delta Air Lines
Frontier Airlines"
ATL,SLC,2860,"1,590 miles / 2559 km","3 hours, 35 minutes","Delta Air Lines
Frontier Airlines"
ATL,SMF,682,"2,092 miles / 3367 km","4 hours, 33 minutes",Delta Air Lines
ATL,SNA,1461,"1,919 miles / 3088 km","4 hours, 14 minutes",Delta Air Lines
ATL,SRQ,3326,444 miles / 715 km,"1 hour, 5 minutes",Delta Air Lines
ATL,STL,3958,483 miles / 778 km,"1 hour, 15 minutes","Delta Air Lines
Southwest Airlines"
ATL,STT,451,"1,599 miles / 2574 km","3 hours, 9 minutes",Delta Air Lines
ATL,STX,67,"1,638 miles / 2636 km","3 hours, 15 minutes"
ATL,SWF,1617,783 miles / 1261 km,"1 hour, 49 minutes"
ATL,SYR,1419,793 miles / 1277 km,"1 hour, 42 minutes",Delta Air Lines
ATL,TLH,2484,224 miles / 360 km,38 minutes,Delta Air Lines
ATL,TOL,119,549 miles / 884 km,"1 hour, 36 minutes"
ATL,TPA,7311,406 miles / 654 km,1 hour,"Delta Air Lines
Southwest Airlines
Spirit Airlines"
ATL,TRI,1809,227 miles / 365 km,39 minutes,Delta Air Lines
ATL,TUL,1981,674 miles / 1084 km,"1 hour, 36 minutes",Delta Air Lines
